gene,gene_name,TATA,class,tail-dependence,expression,Spt3,Spt7,Taf1,Taf13,Bdf1Bdf2,Esa1,Med1,Med5,Med10,Med14,Med15,TID,Mot1,Bur6,NCB2,Toa1,Ssl2
YGR162W,TIF4631,TATA-less,TFIID,tail-independent,50.87841225,-1.240782559,-1.882369979,-2.115364782,-2.752328117,-1.424761193,-1.404641763,-0.287166251,-0.116435682,-1.880173636,-2.189356655,0.103207278,0.084357988,-1.141311841,-0.810564581,-0.744406661,-3.448192532,-4.617536407
YPL160W,CDC60,TATA-less,TFIID,tail-independent,50.85390578,-0.946868401,-1.205523768,-1.639406933,-2.144787141,-1.714761063,-1.329902578,-0.183148037,0.032037944,-1.367682451,-1.343082377,0.214389179,0.051868622,-0.763554336,-0.518599421,-0.405012922,-2.015834338,-3.244282306
YDR003W-A,YDR003W-A,,TFIID,tail-independent,50.84184556,-2.016159838,-1.616410625,-2.198480059,-1.748402263,-1.132807557,0.126320901,-0.260103091,-0.080990773,-2.956410731,-3.128324097,0.633246172,-0.120115284,-0.273596574,-0.370505707,-0.174600264,-5.40599236,-6.930737338
YMR142C,RPL13B,TATA-less,TFIID,tail-independent,50.81400723,-1.347814487,-1.584795982,-1.522222567,-2.670848546,-0.925945327,-1.423670476,-0.237797114,0.035959447,-2.122148693,-1.827625491,0.114076932,-0.028212656,-1.150099393,-0.742305673,-0.786479059,-2.75836931,-3.690744926
YDR064W,RPS13,TATA-less,TFIID,tail-independent,50.45526152,-0.338111907,-0.874148056,-2.18240982,-2.414417065,-0.678686305,-0.548244047,-0.060412703,0.07271744,-1.699091195,-1.587524795,0.074727563,0.045180287,-0.134168976,0.081537171,0.079228987,-2.621646097,-3.925180713
YOR151C,RPB2,TATA-less,TFIID,tail-independent,50.39835025,-1.584859205,-1.378497235,-1.640521495,-1.94920076,-1.271261992,-0.932674831,-0.200331036,-0.114401169,-1.291099781,-1.47245836,-0.052605254,-0.133522957,-0.326425707,-0.492767223,-0.397577986,-2.264802957,-3.430621531
YPL093W,NOG1,TATA-containing,TFIID,tail-independent,50.36142122,-0.849777525,-1.715468179,-2.256930966,-2.588649373,-1.586700919,-2.084340917,-0.286016135,-0.272875759,-1.373738086,-1.763070086,0.241317852,0.236052609,-0.789759114,-0.580400009,-0.517535226,-2.920251111,-4.405928981
YKL009W,MRT4,TATA-less,TFIID,tail-independent,50.14993396,-0.528296426,-1.345540053,-2.344521493,-2.932923822,-1.629770595,-1.884391003,-0.288301207,-0.185368177,-1.337867172,-1.323575948,0.38316244,0.327031169,-1.480817378,-0.920244669,-1.000293077,-3.155476257,-4.007684146
YGR037C,ACB1,TATA-containing,TFIID,tail-independent,49.82411262,-0.733319935,-0.789241262,-1.184076806,-2.15488977,-0.671396569,-3.015143619,-0.118937169,0.026856235,-3.725332171,-3.061387281,-0.239069254,-0.402386224,0.49842125,0.219511308,0.250233127,-3.374946477,-4.041459607
YCL037C,SRO9,TATA-less,TFIID,tail-independent,49.79539222,-1.077889954,-1.56873254,-1.920033846,-2.081164434,-1.426199068,-2.906002738,-0.2432189,-0.063752047,-1.326157415,-1.776542135,0.243914524,0.072177123,-1.225456507,-0.947184372,-0.729731497,-2.198993518,-3.179526133
