5073
TRE1	TRE1	MissingGeneType
CUP9	CUP9	MissingGeneType
CBC2	CBC2	MissingGeneType
PPQ1	PPQ1	MissingGeneType
TCO89	TCO89	MissingGeneType
CTI6	CTI6	MissingGeneType
RTT10	RTT10	MissingGeneType
RTC6	RTC6	MissingGeneType
MRN1	MRN1	MissingGeneType
UIP4	UIP4	MissingGeneType
MF(ALPHA)1	MF(ALPHA)1	MissingGeneType
POS5	POS5	MissingGeneType
GUP2	GUP2	MissingGeneType
COA2	COA2	MissingGeneType
NAB3	NAB3	MissingGeneType
YPL191C	YPL191C	MissingGeneType
RSA1	RSA1	MissingGeneType
DDC1	DDC1	MissingGeneType
APL5	APL5	MissingGeneType
OXR1	OXR1	MissingGeneType
RPL7B	RPL7B	MissingGeneType
YPL199C	YPL199C	MissingGeneType
CSM4	CSM4	MissingGeneType
YIG1	YIG1	MissingGeneType
AFT2	AFT2	MissingGeneType
TPK2	TPK2	MissingGeneType
HRR25	HRR25	MissingGeneType
PGC1	PGC1	MissingGeneType
TYW1	TYW1	MissingGeneType
RKM1	RKM1	MissingGeneType
IPL1	IPL1	MissingGeneType
SRP72	SRP72	MissingGeneType
NIP7	NIP7	MissingGeneType
PUS1	PUS1	MissingGeneType
LEA1	LEA1	MissingGeneType
THI6	THI6	MissingGeneType
CBP3	CBP3	MissingGeneType
YPL216W	YPL216W	MissingGeneType
BMS1	BMS1	MissingGeneType
SAR1	SAR1	MissingGeneType
PCL8	PCL8	MissingGeneType
RPL1A	RPL1A	MissingGeneType
FLC1	FLC1	MissingGeneType
FMP40	FMP40	MissingGeneType
GRE1	GRE1	MissingGeneType
MMT2	MMT2	MissingGeneType
YPL225W	YPL225W	MissingGeneType
NEW1	NEW1	MissingGeneType
ALG5	ALG5	MissingGeneType
CET1	CET1	MissingGeneType
YPL229W	YPL229W	MissingGeneType
USV1	USV1	MissingGeneType
FAS2	FAS2	MissingGeneType
SSO1	SSO1	MissingGeneType
NSL1	NSL1	MissingGeneType
RVB2	RVB2	MissingGeneType
SUI3	SUI3	MissingGeneType
YAR1	YAR1	MissingGeneType
HSP82	HSP82	MissingGeneType
CIN2	CIN2	MissingGeneType
IQG1	IQG1	MissingGeneType
SRP68	SRP68	MissingGeneType
HUT1	HUT1	MissingGeneType
YPL245W	YPL245W	MissingGeneType
RBD2	RBD2	MissingGeneType
YPL247C	YPL247C	MissingGeneType
GAL4	GAL4	MissingGeneType
GYP5	GYP5	MissingGeneType
RPL36B	RPL36B	MissingGeneType
YAH1	YAH1	MissingGeneType
VIK1	VIK1	MissingGeneType
HFI1	HFI1	MissingGeneType
BBP1	BBP1	MissingGeneType
CLN2	CLN2	MissingGeneType
YPL257W	YPL257W	MissingGeneType
THI21	THI21	MissingGeneType
APM1	APM1	MissingGeneType
FUM1	FUM1	MissingGeneType
KEL3	KEL3	MissingGeneType
YPL264C	YPL264C	MissingGeneType
DIP5	DIP5	MissingGeneType
DIM1	DIM1	MissingGeneType
ACM1	ACM1	MissingGeneType
PLC1	PLC1	MissingGeneType
KAR9	KAR9	MissingGeneType
MDL2	MDL2	MissingGeneType
ATP15	ATP15	MissingGeneType
SAM4	SAM4	MissingGeneType
SAM3	SAM3	MissingGeneType
YOR389W	YOR389W	MissingGeneType
PHR1	PHR1	MissingGeneType
YOR385W	YOR385W	MissingGeneType
FRE5	FRE5	MissingGeneType
FIT3	FIT3	MissingGeneType
FIT2	FIT2	MissingGeneType
YOR381W-A	YOR381W-A	MissingGeneType
FRE3	FRE3	MissingGeneType
RDR1	RDR1	MissingGeneType
ATF1	ATF1	MissingGeneType
YOR376W-A	YOR376W-A	MissingGeneType
GDH1	GDH1	MissingGeneType
ALD4	ALD4	MissingGeneType
NUD1	NUD1	MissingGeneType
NDD1	NDD1	MissingGeneType
GPB1	GPB1	MissingGeneType
MRS6	MRS6	MissingGeneType
RPS12	RPS12	MissingGeneType
RAD17	RAD17	MissingGeneType
SCP1	SCP1	MissingGeneType
PIP2	PIP2	MissingGeneType
PRE10	PRE10	MissingGeneType
PRT1	PRT1	MissingGeneType
PDE2	PDE2	MissingGeneType
VTS1	VTS1	MissingGeneType
HAP5	HAP5	MissingGeneType
SNX3	SNX3	MissingGeneType
GDS1	GDS1	MissingGeneType
MSC6	MSC6	MissingGeneType
SOG2	SOG2	MissingGeneType
MNE1	MNE1	MissingGeneType
CIN1	CIN1	MissingGeneType
PYK2	PYK2	MissingGeneType
REV1	REV1	MissingGeneType
TYE7	TYE7	MissingGeneType
YOR343C	YOR343C	MissingGeneType
YOR342C	YOR342C	MissingGeneType
RPA190	RPA190	MissingGeneType
RPA43	RPA43	MissingGeneType
UBC11	UBC11	MissingGeneType
YOR338W	YOR338W	MissingGeneType
TEA1	TEA1	MissingGeneType
KRE5	KRE5	MissingGeneType
ALA1	ALA1	MissingGeneType
MRS2	MRS2	MissingGeneType
VMA4	VMA4	MissingGeneType
MIP1	MIP1	MissingGeneType
SCD5	SCD5	MissingGeneType
PDR10	PDR10	MissingGeneType
SNC2	SNC2	MissingGeneType
MYO2	MYO2	MissingGeneType
FRT1	FRT1	MissingGeneType
PRO2	PRO2	MissingGeneType
LDB19	LDB19	MissingGeneType
PMT3	PMT3	MissingGeneType
GNT1	GNT1	MissingGeneType
HSH49	HSH49	MissingGeneType
FAA1	FAA1	MissingGeneType
YOR316C-A	YOR316C-A	MissingGeneType
COT1	COT1	MissingGeneType
SFG1	SFG1	MissingGeneType
SPS4	SPS4	MissingGeneType
RPL20B	RPL20B	MissingGeneType
DGK1	DGK1	MissingGeneType
SNU66	SNU66	MissingGeneType
SLY41	SLY41	MissingGeneType
MCH5	MCH5	MissingGeneType
RRG7	RRG7	MissingGeneType
ISW2	ISW2	MissingGeneType
CPA1	CPA1	MissingGeneType
YOR302W	YOR302W	MissingGeneType
RAX1	RAX1	MissingGeneType
MBF1	MBF1	MissingGeneType
MUM3	MUM3	MissingGeneType
TIM18	TIM18	MissingGeneType
YOR296W	YOR296W	MissingGeneType
UAF30	UAF30	MissingGeneType
RRS1	RRS1	MissingGeneType
YOR293C-A	YOR293C-A	MissingGeneType
RPS10A	RPS10A	MissingGeneType
YOR292C	YOR292C	MissingGeneType
YPK9	YPK9	MissingGeneType
SNF2	SNF2	MissingGeneType
YOR289W	YOR289W	MissingGeneType
MPD1	MPD1	MissingGeneType
RRP36	RRP36	MissingGeneType
RDL2	RDL2	MissingGeneType
RDL1	RDL1	MissingGeneType
HUA2	HUA2	MissingGeneType
YOR283W	YOR283W	MissingGeneType
PLP2	PLP2	MissingGeneType
FSH3	FSH3	MissingGeneType
RFM1	RFM1	MissingGeneType
HEM4	HEM4	MissingGeneType
CAF20	CAF20	MissingGeneType
RIM20	RIM20	MissingGeneType
MOD5	MOD5	MissingGeneType
TPO4	TPO4	MissingGeneType
YTM1	YTM1	MissingGeneType
FSF1	FSF1	MissingGeneType
VPH1	VPH1	MissingGeneType
PAC1	PAC1	MissingGeneType
HRK1	HRK1	MissingGeneType
PNT1	PNT1	MissingGeneType
RBL2	RBL2	MissingGeneType
DSE3	DSE3	MissingGeneType
RPN8	RPN8	MissingGeneType
GCD1	GCD1	MissingGeneType
RPT4	RPT4	MissingGeneType
HNT3	HNT3	MissingGeneType
CDC31	CDC31	MissingGeneType
TRE2	TRE2	MissingGeneType
OSW1	OSW1	MissingGeneType
SEC63	SEC63	MissingGeneType
NAT5	NAT5	MissingGeneType
TMA16	TMA16	MissingGeneType
TUM1	TUM1	MissingGeneType
CLP1	CLP1	MissingGeneType
APC5	APC5	MissingGeneType
SRL1	SRL1	MissingGeneType
DGA1	DGA1	MissingGeneType
ESA1	ESA1	MissingGeneType
PUS7	PUS7	MissingGeneType
SSP2	SSP2	MissingGeneType
MET7	MET7	MissingGeneType
ABP140	ABP140	MissingGeneType
YOR238W	YOR238W	MissingGeneType
HES1	HES1	MissingGeneType
DFR1	DFR1	MissingGeneType
RPL33B	RPL33B	MissingGeneType
KIN4	KIN4	MissingGeneType
MGE1	MGE1	MissingGeneType
MKK1	MKK1	MissingGeneType
WTM1	WTM1	MissingGeneType
WTM2	WTM2	MissingGeneType
HER1	HER1	MissingGeneType
ISU2	ISU2	MissingGeneType
RPB8	RPB8	MissingGeneType
ODC2	ODC2	MissingGeneType
MCT1	MCT1	MissingGeneType
RCN2	RCN2	MissingGeneType
STE13	STE13	MissingGeneType
RFC1	RFC1	MissingGeneType
RUD3	RUD3	MissingGeneType
AIM41	AIM41	MissingGeneType
SAS5	SAS5	MissingGeneType
STE4	STE4	MissingGeneType
MGM1	MGM1	MissingGeneType
RPB10	RPB10	MissingGeneType
NPT1	NPT1	MissingGeneType
PTP2	PTP2	MissingGeneType
RET1	RET1	MissingGeneType
NOC2	NOC2	MissingGeneType
GEP3	GEP3	MissingGeneType
DED1	DED1	MissingGeneType
MRM1	MRM1	MissingGeneType
BFR1	BFR1	MissingGeneType
MCA1	MCA1	MissingGeneType
LIP5	LIP5	MissingGeneType
SLK19	SLK19	MissingGeneType
TOA1	TOA1	MissingGeneType
PEX27	PEX27	MissingGeneType
THI72	THI72	MissingGeneType
ULS1	ULS1	MissingGeneType
SPR1	SPR1	MissingGeneType
IES4	IES4	MissingGeneType
MSB1	MSB1	MissingGeneType
TUF1	TUF1	MissingGeneType
YOR186W	YOR186W	MissingGeneType
GSP2	GSP2	MissingGeneType
SER1	SER1	MissingGeneType
FYV12	FYV12	MissingGeneType
RPS30B	RPS30B	MissingGeneType
LAS17	LAS17	MissingGeneType
DCI1	DCI1	MissingGeneType
SYC1	SYC1	MissingGeneType
MPC54	MPC54	MissingGeneType
HEM15	HEM15	MissingGeneType
ALE1	ALE1	MissingGeneType
MED4	MED4	MissingGeneType
DCS2	DCS2	MissingGeneType
YRM1	YRM1	MissingGeneType
LCB4	LCB4	MissingGeneType
GLN4	GLN4	MissingGeneType
RPS28A	RPS28A	MissingGeneType
SWT1	SWT1	MissingGeneType
SEY1	SEY1	MissingGeneType
GET4	GET4	MissingGeneType
DDP1	DDP1	MissingGeneType
YRR1	YRR1	MissingGeneType
YOR161C-C	YOR161C-C	MissingGeneType
PNS1	PNS1	MissingGeneType
MTR10	MTR10	MissingGeneType
SME1	SME1	MissingGeneType
PET123	PET123	MissingGeneType
PUP1	PUP1	MissingGeneType
NFI1	NFI1	MissingGeneType
ISN1	ISN1	MissingGeneType
SLP1	SLP1	MissingGeneType
PDR5	PDR5	MissingGeneType
RPB2	RPB2	MissingGeneType
MRPL23	MRPL23	MissingGeneType
SMP3	SMP3	MissingGeneType
SPP2	SPP2	MissingGeneType
MDM32	MDM32	MissingGeneType
PNO1	PNO1	MissingGeneType
ELG1	ELG1	MissingGeneType
THI80	THI80	MissingGeneType
LSC1	LSC1	MissingGeneType
ARP8	ARP8	MissingGeneType
SFL1	SFL1	MissingGeneType
RUP1	RUP1	MissingGeneType
SIA1	SIA1	MissingGeneType
IDH2	IDH2	MissingGeneType
BAG7	BAG7	MissingGeneType
EFT1	EFT1	MissingGeneType
VPS17	VPS17	MissingGeneType
YOR131C	YOR131C	MissingGeneType
ORT1	ORT1	MissingGeneType
AFI1	AFI1	MissingGeneType
ADE2	ADE2	MissingGeneType
RGA1	RGA1	MissingGeneType
IAH1	IAH1	MissingGeneType
CAT5	CAT5	MissingGeneType
UBP2	UBP2	MissingGeneType
LEO1	LEO1	MissingGeneType
PFY1	PFY1	MissingGeneType
GCY1	GCY1	MissingGeneType
RIO1	RIO1	MissingGeneType
RTC5	RTC5	MissingGeneType
RPT5	RPT5	MissingGeneType
RPO31	RPO31	MissingGeneType
TRS33	TRS33	MissingGeneType
AZF1	AZF1	MissingGeneType
CEX1	CEX1	MissingGeneType
YOR111W	YOR111W	MissingGeneType
TFC7	TFC7	MissingGeneType
INP53	INP53	MissingGeneType
LEU9	LEU9	MissingGeneType
RGS2	RGS2	MissingGeneType
VAM3	VAM3	MissingGeneType
YOR105W	YOR105W	MissingGeneType
PIN2	PIN2	MissingGeneType
OST2	OST2	MissingGeneType
